#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
5.0%	10000	5.40694617185	106.88822394	112.295170112	127.917245621	1000.0	0.000166053878234	0	--
10.0%	20000	5.06088378433	105.405693842	110.466577626	126.143044875	1000.0	0.000166053878234	2.04e+03	6:21
15.0%	30000	4.11663816645	102.130650646	106.247288812	122.223674812	1000.0	0.000166053878234	2.04e+03	6:00
20.0%	40000	5.22532529976	95.7167973013	100.942122601	114.547970012	1000.0	0.000166053878234	2.03e+03	5:39
25.0%	50000	5.17421509117	111.694260488	116.868475579	133.668814268	1000.0	0.000166053878234	1.98e+03	5:26
30.0%	60000	5.28647487696	95.5964094344	100.882884311	114.403897225	1000.0	0.000166053878234	1.98e+03	5:05
35.0%	70000	5.52953935391	90.1872613656	95.7168007195	107.930561841	1000.0	0.000166053878234	1.99e+03	4:42
40.0%	80000	5.85010520164	105.046128659	110.896233861	125.712739401	1000.0	0.000166053878234	1.99e+03	4:20
45.0%	90000	7.85288475784	91.913287323	99.7661720809	109.996163441	1000.0	0.000166053878234	1.95e+03	4:03
50.0%	100000	6.87944985069	89.3594662741	96.2389161248	106.93990764	1000.0	0.000166053878234	1.92e+03	3:44
55.0%	110000	5.42543820316	93.3299597926	98.7553979958	111.691549832	1000.0	0.000166053878234	1.9e+03	3:24
60.0%	120000	7.19209382283	119.785453214	126.977547037	143.351855572	1000.0	0.000166053878234	1.89e+03	3:03
65.0%	130000	6.49847896489	101.967601881	108.466080846	122.028548089	1000.0	0.000166053878234	1.88e+03	2:40
70.0%	140000	6.36711636084	108.990235641	115.357352002	130.432803811	1000.0	0.000166053878234	1.87e+03	2:18
75.0%	150000	8.78600819281	86.6534963706	95.4395045634	103.701569458	1000.0	0.000166053878234	1.86e+03	1:56
80.0%	160000	6.20168760011	89.0356098249	95.237297425	106.552336181	1000.0	0.000166053878234	1.85e+03	1:33
85.0%	170000	5.21099071961	102.18207155	107.39306227	122.285212185	1000.0	0.000166053878234	1.84e+03	1:10
90.0%	180000	4.62962239014	93.0298096576	97.6594320478	111.33234863	1000.0	0.000166053878234	1.84e+03	0:47
95.0%	190000	7.35255830443	98.9072234694	106.259781774	118.366075625	1000.0	0.000166053878234	1.83e+03	0:23
100.0%	200000	5.92577487735	101.075922775	107.001697653	120.961441433	1000.0	0.000166053878234	1.82e+03	0:00
