#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
5.0%	10000	7.14360370658	78.6998928529	85.8434965594	94.183186448	1000.0	0.000166053878234	0	--
10.0%	20000	6.0336270229	108.662847494	114.696474517	130.041005833	1000.0	0.000166053878234	1.78e+03	7:16
15.0%	30000	5.77090217217	91.5824341342	97.3533363063	109.600218714	1000.0	0.000166053878234	1.77e+03	6:53
20.0%	40000	6.14355526789	86.640845495	92.7844007629	103.686429669	1000.0	0.000166053878234	1.77e+03	6:31
25.0%	50000	7.09403766133	98.064766276	105.158803937	117.357874723	1000.0	0.000166053878234	1.77e+03	6:06
30.0%	60000	6.97689385148	107.509420292	114.486314143	128.66065517	1000.0	0.000166053878234	1.77e+03	5:41
35.0%	70000	4.97363882023	88.7711363815	93.7447752018	106.235830647	1000.0	0.000166053878234	1.77e+03	5:17
40.0%	80000	8.34160201213	97.4293827488	105.770984761	116.597486836	1000.0	0.000166053878234	1.77e+03	4:52
45.0%	90000	6.06428821328	109.973870337	116.038158551	131.609957256	1000.0	0.000166053878234	1.77e+03	4:28
50.0%	100000	6.20104798696	95.4832780878	101.684326075	114.268508594	1000.0	0.000166053878234	1.77e+03	4:04
55.0%	110000	4.56783273717	89.7232157429	94.29104848	107.37522061	1000.0	0.000166053878234	1.78e+03	3:38
60.0%	120000	7.39024954972	122.900767154	130.291016704	147.080071496	1000.0	0.000166053878234	1.78e+03	3:14
65.0%	130000	6.5557125819	92.0167662117	98.5724787936	110.120000604	1000.0	0.000166053878234	1.78e+03	2:49
70.0%	140000	5.6815308955	105.170779251	110.852310147	125.861913556	1000.0	0.000166053878234	1.79e+03	2:25
75.0%	150000	5.06068002867	110.367693933	115.428373961	132.081261088	1000.0	0.000166053878234	1.79e+03	2:00
80.0%	160000	4.755933078	108.951403178	113.707336256	130.386331509	1000.0	0.000166053878234	1.79e+03	1:36
85.0%	170000	4.64233527901	96.6946802259	101.337015505	115.718240091	1000.0	0.000166053878234	1.79e+03	1:12
90.0%	180000	6.75775579228	86.9407234726	93.6984792649	104.04530517	1000.0	0.000166053878234	1.79e+03	0:48
95.0%	190000	7.6034324499	104.37163774	111.97507019	124.905550196	1000.0	0.000166053878234	1.79e+03	0:24
100.0%	200000	7.29395118682	100.118375989	107.412327176	119.815508394	1000.0	0.000166053878234	1.8e+03	0:00
5.0%	10000	5.40694617185	106.88822394	112.295170112	127.917245621	1000.0	0.000166053878234	1.81e+03	--
10.0%	20000	5.06088378433	105.405693842	110.466577626	126.143044875	1000.0	0.000166053878234	1.82e+03	2:29:19
15.0%	30000	4.11663816645	102.130650646	106.247288812	122.223674812	1000.0	0.000166053878234	1.83e+03	1:13:30
20.0%	40000	5.22532529976	95.7167973013	100.942122601	114.547970012	1000.0	0.000166053878234	1.84e+03	48:01
25.0%	50000	5.17421509117	111.694260488	116.868475579	133.668814268	1000.0	0.000166053878234	1.84e+03	35:13
30.0%	60000	5.28647487696	95.5964094344	100.882884311	114.403897225	1000.0	0.000166053878234	1.84e+03	27:20
35.0%	70000	5.52953935391	90.1872613656	95.7168007195	107.930561841	1000.0	0.000166053878234	1.85e+03	21:54
40.0%	80000	5.85010520164	105.046128659	110.896233861	125.712739401	1000.0	0.000166053878234	1.86e+03	17:57
45.0%	90000	7.85288475784	91.913287323	99.7661720809	109.996163441	1000.0	0.000166053878234	1.85e+03	14:58
50.0%	100000	6.87944985069	89.3594662741	96.2389161248	106.93990764	1000.0	0.000166053878234	1.85e+03	12:34
55.0%	110000	5.42543820316	93.3299597926	98.7553979958	111.691549832	1000.0	0.000166053878234	1.84e+03	10:33
60.0%	120000	7.19209382283	119.785453214	126.977547037	143.351855572	1000.0	0.000166053878234	1.84e+03	8:49
65.0%	130000	6.49847896489	101.967601881	108.466080846	122.028548089	1000.0	0.000166053878234	1.84e+03	7:18
70.0%	140000	6.36711636084	108.990235641	115.357352002	130.432803811	1000.0	0.000166053878234	1.83e+03	5:58
75.0%	150000	8.78600819281	86.6534963706	95.4395045634	103.701569458	1000.0	0.000166053878234	1.83e+03	4:46
80.0%	160000	6.20168760011	89.0356098249	95.237297425	106.552336181	1000.0	0.000166053878234	1.83e+03	3:40
85.0%	170000	5.21099071961	102.18207155	107.39306227	122.285212185	1000.0	0.000166053878234	1.83e+03	2:39
90.0%	180000	4.62962239014	93.0298096576	97.6594320478	111.33234863	1000.0	0.000166053878234	1.82e+03	1:43
95.0%	190000	7.35255830443	98.9072234694	106.259781774	118.366075625	1000.0	0.000166053878234	1.82e+03	0:50
100.0%	200000	5.92577487735	101.075922775	107.001697653	120.961441433	1000.0	0.000166053878234	1.82e+03	0:00
